aerobatics	25165	6a
aerobe	251e7	32
aerobiology	25221	7c
aerocamera	252b4	53
aerocarrier	2531a	35
aerodrome	25357	2d
aerodynamic	2538a	5b
aerodynamical	253f3	5d
aerodynamics	2545e	8b
aerodyne	2550a	3f
aeroembolism	25553	40
aerofoil	2559e	46
aerogram	255ed	33
aerogun	2562c	39
aerolite	25670	38
aerology	256b4	61
aeromechanics	2572d	5a
aerometer	2579b	38
aeronaut	257e0	45
aeronautic	25835	5b
aeronautical	2589f	5d
aeronautics	2590b	56
aeronavigation	25974	42
aerophotograph	259c0	45
aerophotography	25a12	62
aeroplane	25a8c	36
aeroport	25ac9	2f
aerostat	25b01	2c
aerostatics	25b35	60
aerotechnics	25bac	5c
aeruginous	25c1b	50
aery	25c83	af
aesthete	25d55	2e
aesthetic	25d8c	7a
aesthetically	25e2d	46
aesthetics	25e86	49
aestho-physiology	25ee0	4c
aestival	25f37	44
aestivate	25f89	3f
aestivation	25fda	42
aetiology	2602c	74
afar	260b3	5f
affability	26121	7c
affable	261be	4b
affableness	2621f	7d
affair	262bd	2c1
affect	26615	3cf
affectation	26ace	108
affected	26c27	171
affectedly	26de5	4e
affecting	26e47	aa
affection	26f15	279
affectionate	2721d	4d
affectionateness	2727c	62
affective	272f0	39
affectivity	27338	3a
afferent	2737d	79
affettuoso	27413	39
affiance	27457	c6
affidavit	27551	fa
affiliate	2767b	13f
affiliation	2780f	10b
affinage	27970	48
affined	279c9	33
affinity	27a07	18b
affirm	27bf7	5e
affirmation	27c70	a5
affirmative	27d4b	de
affix	27e66	132
affixture	27fd1	4e
afflatus	28036	37
afflict	28078	81
affliction	28118	75
afflictive	281af	77
affluence	28243	9f
affluent	28305	5e
afflux	28375	75
afford	28410	15d
afforest	285bb	72
afforestation	2864e	9d
afforestment	28711	9c
affranchise	287d3	39
affranchisement	2881a	3e
affray	28864	57
affreightment	288d5	82
affricate	2896c	3d
affright	289b6	ca
affront	28ac1	173
affusion	28c8b	97
afghan	28d5a	81
afield	28df7	f9
afire	28f24	cd
aflame	29016	e0
afloat	29120	205
afoot	29399	bb
afore	2947c	9a
aforecited	2954a	2e
aforegoing	29582	37
aforementioned	295c7	57
aforenamed	29639	44
aforesaid	29693	47
aforethought	296f1	4e
aforetime	29756	4e
afoul	297b8	5d
afraid	29829	149
afreet	299ad	63
afresh	29a21	4e
african	29a87	4c
afrikaans	29ae2	48
afrikaner	29b3a	50
afrikanist	29b9d	47
afrit	29bf0	62
afrite	29c63	63
afro-american	29cd7	9b
aft	29d9d	79
after	29e41	570
after-care	2a481	52
after-effect	2a4e5	58
after-grass	2a552	40
after-life	2a5a1	47
after-pains	2a5f8	52
afterbirth	2a65b	37
afterburner	2a69f	5c
afterclap	2a711	33
aftercrop	2a74f	55
afterdamp	2a7b6	65
afterglow	2a836	5b
aftergrowth	2a8a6	57
afterimage	2a90f	30
afterlight	2a948	65
aftermath	2a9c5	8c
aftermost	2aa6f	6e
afternoon	2aaf8	81
afterpiece	2ab8e	8e
afters	2ac42	65
aftershock	2acbf	3f
aftertaste	2ad11	2d
afterthought	2ad46	b2
afterward	2ae26	5e
afterwards	2ae97	5f
afterword	2af09	39
afterworld	2af4f	42
again	2af9e	359
against	2b37b	2d9
agamic	2b6e7	54
agamogenesis	2b74b	6a
agamous	2b7cd	55
agape	2b832	7e
agar-agar	2b8c8	3e
agaric	2b90f	36
agaricaceous	2b953	4b
agate	2b9b3	55
agave	2ba1d	36
agaze	2ba5f	2e
age	2ba98	3e0
age-old	2bf3a	50
aged	2bf9b	4a
agedness	2bffa	3c
ageing	2c043	3c
ageless	2c08a	5a
agelong	2c0fa	4b
agency	2c15c	103
agenda	2c294	69
agent	2c31a	17a
agglomerant	2c4f2	42
agglomerate	2c545	cc
agglomeration	2c656	75
agglomerative	2c6f0	69
agglutinant	2c779	33
agglutinate	2c7b4	af
agglutination	2c890	54
agglutinative	2c8f6	54
aggrandize	2c95c	9d
aggrandizement	2ca23	b3
aggravate	2cb0a	11e
aggravating	2cc63	91
aggravation	2cd18	ff
aggregate	2ce64	203
aggregation	2d0fe	92
aggregative	2d1c4	72
aggress	2d25c	48
aggression	2d2ba	9c
aggressive	2d380	106
aggressiveness	2d4c7	95
aggressor	2d579	67
aggrieve	2d601	75
aghast	2d69c	4a
agile	2d6f2	48
agility	2d749	58
aging	2d7b7	3b
agio	2d7fd	b2
agiotage	2d8e6	56
agip prop	2d95a	7b
agist	2d9f9	70
agitate	2da91	1e0
agitation	2dce0	f0
agitator	2de1f	6c
aglet	2deaa	9a
agley	2df64	2e
aglow	2df9c	9a
agnail	2e05f	42
agnate	2e0b0	73
agnation	2e13e	33
agnomen	2e179	56
agnomina	2e1df	57
